Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cacng3,2057.46953424954,-0.3255751534721414,0.1854358933394056,1.8943859080813785e-5,0.01696896177163895
D1Pas1,8.506371267119865,0.8703661397547315,1.915467000456295,2.447218159238091e-5,0.01771259099017793
Ddx4,139.26214840888136,0.6449194562290124,0.3993181961250221,2.1594479155791277e-5,0.01771259099017793
Kdm5c,8275.075026756176,-0.1764028013053715,0.07588157077214361,2.2793712261686016e-5,0.01771259099017793
Tiam2,1654.290760950367,-0.2451576422634961,0.13822299609601174,2.471754254839231e-5,0.01771259099017793
Zfp820,35.89770580250577,-0.8356729558324997,0.7471517384253074,2.340482368785294e-5,0.01771259099017793
Tsc22d3,3879.849620558296,0.4793590004783004,0.30257786988593016,2.914206920519564e-5,0.02008000653119538
Map3k1,1137.9688856777143,-0.19590072939485265,0.10763735812595125,4.5525307492204085e-5,0.030206884582327263
Kdm6a,3210.568937304446,-0.41580525219193243,0.30032112640636927,4.854667540895738e-5,0.03106120321255255
Fggy,581.0452896465004,0.35636038963598504,0.25866654000424605,5.359715522890454e-5,0.03311010468709741
Firre,2538.923503910278,0.467856197093834,0.37917735412768744,5.920421680399841e-5,0.034214307872375206
Nol4,6365.136642919865,-0.17347496884889826,0.08806849484587144,5.84632069088176e-5,0.034214307872375206
Gm35612,39.522157679092594,0.5400624834977241,0.7210168092505871,6.354619360873666e-5,0.03557593932814116
Fcgbp,241.00657130178058,0.4507257611823782,0.43388204419231013,8.470557222810047e-5,0.04409353581409814
Trim65,262.6794949950094,0.32842816691055543,0.26532291156981785,8.130892324019553e-5,0.04409353581409814
Tsix,37.048330643726416,-0.45149221322899763,0.6950280048189295,8.614422291339297e-5,0.04409353581409814
Rnf17,73.81403949159942,0.4716627948350915,0.5766852563865388,9.31245075957851e-5,0.0463423764882914
Tmem52,59.917738813135635,0.4518981645686488,0.4920955244980768,9.645987255751704e-5,0.04670482748291669
Arhgap27,953.3596857052088,0.33858342123127666,0.3037422363828954,1.066171972425422e-4,0.05026439706842483
Jun,5175.152063803184,0.22565041186668572,0.17598585992062837,1.1388289867715531e-4,0.05231313153336506
Cx3cr1,2882.309748886908,-0.2346836769765479,0.18980431395602768,1.196054891979761e-4,0.052917655579445694
Rnf212,58.43807033434004,0.40088000831483367,0.45765215197963427,1.2406037032300973e-4,0.052917655579445694
Slitrk6,153.58280695515128,-0.41247271662945356,0.5167898919044424,1.2323895952102477e-4,0.052917655579445694
Rbm3,2794.919961885765,0.3355271556956178,0.32493653679672163,1.2845771854011584e-4,0.05351907041037617
Selenoo,1099.4189684452647,0.19130914670479918,0.1382332642023758,1.352108731927185e-4,0.05505233621017164
Ptpn13,1391.26110303761,-0.1678674136289346,0.1053947790980517,1.471194607836459e-4,0.058569891998644805
Pbdc1,1328.6849668764278,-0.1999607261599741,0.16092717295918993,1.6469440355914124e-4,0.06414130956004381
Cirbp,2050.3116753618356,0.2701826343590124,0.2651252342728674,1.7234141794263824e-4,0.06569141494558221
Mov10l1,8.954501594242632,0.20362139754485442,0.9782313765225424,1.7762898973152318e-4,0.06629631981333829
Fkbp5,3924.4999240270413,0.1946213349288898,0.16198508869362646,1.9375725986555794e-4,0.07084002674472388
Myh7b,118.50663039474578,0.31832010011892187,0.4040715935013146,2.013958785488411e-4,0.07216014328404977
Shmt1,266.1635694906712,0.2645366120849799,0.2985864670434198,2.3625601310672817e-4,0.0829907151922948
Dsel,2655.9357281819766,-0.15256817510088228,0.10199228706190684,2.7032995828911536e-4,0.09313386928364427
Fancc,353.06135667388145,0.2152415133610978,0.23104087179045069,2.942892549513557e-4,0.09947532080101014
Aacs,3328.01609190068,0.15485813207372642,0.11575475096274804,3.193947695297351e-4,0.1045083793909072
Sema4b,1863.6014988133675,0.16937038818429573,0.1481561748170188,3.2084626662014486e-4,0.1045083793909072
Ccnb3,11.295729692758115,-0.1376622093914122,0.843022468810263,3.362156124738622e-4,0.10755897674052217
Amh,65.07002849303642,0.2366848554652713,0.44697580103326856,3.4557750696504765e-4,0.10861440416278646
Gm19439,76.89889886136062,0.23968455233457675,0.38396183488394947,3.678398695732698e-4,0.1124028958062776
Pop5,1358.4348132879188,0.19857655247745234,0.22317886021025052,3.701797852397644e-4,0.1124028958062776
Cntn3,1014.1698716974083,-0.21021524840870773,0.2782916167307162,4.261922936568594e-4,0.1203596419275075
Fabp7,1235.2821423051353,-0.19157796730732993,0.2206488330173537,4.1283175800640575e-4,0.1203596419275075
Gm46065,43.276313541473634,0.2133745384318729,0.4121311632651496,4.2848736347211186e-4,0.1203596419275075
Septin11,6761.117628581032,-0.1300246659818125,0.07088325840030436,4.2091833061209033e-4,0.1203596419275075
Zic3,207.8600292114253,-0.20755313727144437,0.27146597794040206,4.2997583496290706e-4,0.1203596419275075
Rtl8b,2056.7578086230005,0.18140197916523448,0.21189977613937142,4.692912349044282e-4,0.1293438842048128
F630042J09Rik,82.6493534398991,-0.2076774427812566,0.3402603942381081,4.883903298959752e-4,0.13256837515282419
Arrdc2,481.8106539120186,0.20147419723889945,0.30584923671082354,5.096694138032627e-4,0.1362795156460515
Cercam,370.5767556145864,0.19189193057320686,0.2651366978757214,5.235791612751451e-4,0.1364874177026888
Efcab5,304.8167290846329,-0.16722210534472956,0.1882199795883516,5.256841653075928e-4,0.1364874177026888
Scarf2,133.6414087272549,0.19432860578539177,0.34955378648349883,5.490986503303086e-4,0.13898735407723772
Zfp111,1066.9469396330908,-0.1612285660632413,0.17694273518801376,5.508290337417738e-4,0.13898735407723772
Gbp9,135.47142935919717,-0.17867469257000812,0.23188506263001715,5.594873234060349e-4,0.13921132498359884
Pnldc1,76.08240742238875,0.1834987911507509,0.3599307478480912,5.911899019264969e-4,0.1450844807262081
Mbd4,379.0188106805199,-0.1509373603915633,0.15725125883372953,6.063507755851333e-4,0.14679424519740084
Ccnb1ip1,29.23019578175126,0.07624932719343487,0.3835364570766934,6.647986905904693e-4,0.15614955439338543
Sorbs2,12136.720530888457,-0.12834269980450358,0.08643716734356852,6.611603831415801e-4,0.15614955439338543
Tmem64,3811.770274032942,-0.12938719830116707,0.09133831929115867,6.711423772420139e-4,0.15614955439338543
Acat2,1714.9108583989375,0.1216475058072871,0.06931482943418799,7.054548209889732e-4,0.1578672391298365
Ifitm10,781.9894532782581,0.13644246609876334,0.12403528294378266,7.060368681414057e-4,0.1578672391298365
Mthfd1l,1282.937347723923,0.1536322960650483,0.1878149440154848,7.137731716168996e-4,0.1578672391298365
Tceal6,1943.6560268103847,0.14472762784818885,0.15284682934134494,6.957653478262213e-4,0.1578672391298365
Adgrg2,182.7242926456669,-0.15157541762050397,0.3610526708936879,7.360305734903859e-4,0.16007721552732007
Hopx,2361.4205910957185,0.14464305281563108,0.1624732414181462,7.505713705997704e-4,0.16007721552732007
Nol3,872.567301114504,0.12540212440430748,0.0841345050239414,7.466775440622929e-4,0.16007721552732007
Lrrc32,126.18008988588156,-0.16095963794665583,0.24143681101839395,7.808890431894081e-4,0.1645838495145676
Chrm2,360.6401411161575,-0.1443083184203641,0.17413201089303879,8.177320684356568e-4,0.1664735227957363
Gm3667,20.134660204670123,-0.10454971538903082,0.35765149009858593,8.171974100940686e-4,0.1664735227957363
Sdc4,5568.419852311199,0.14046800517125085,0.15710686339453941,8.095239983954413e-4,0.1664735227957363
Kcns1,369.61811252140666,0.1472869772630181,0.19196529821252703,8.417636761545664e-4,0.16667397092614805
Plcb4,1658.0851878403244,-0.15414542812119336,0.22853566170707193,8.466274827953935e-4,0.16667397092614805
Zfp991,142.39946879149545,-0.15906725730962257,0.2844789160166319,8.320912037243054e-4,0.16667397092614805
Gm15246,256.89325410148666,0.15481908100776395,0.27608534667109924,8.805364131998946e-4,0.16962161120942054
Vopp1,3046.042273161398,-0.12335246267218841,0.08899960323429318,8.781989308130831e-4,0.16962161120942054
Jcad,7262.428721710906,-0.12781735865005947,0.11675091938055933,9.089310202104992e-4,0.17242539817166527
Trmt2b,766.0374608369175,0.12513713408772142,0.10315401210312815,9.143406545525091e-4,0.17242539817166527
Itm2c,37992.91121054682,0.12090090719894958,0.08281827132816552,9.329546254318591e-4,0.17410293869387247
Gm15232,6.02024511998723,-0.06306796883461582,0.3255919905991528,0.0010015102930866387,0.18415788700614108
Hoga1,56.18833276362455,-0.14241218510886658,0.28699964178841664,0.001007394525626672,0.18415788700614108
Nckipsd,4777.04301675459,0.1157335078642796,0.06896492000713939,0.001035572951457898,0.18739686288250748
Tunar,1087.1288317469985,-0.13528322062088655,0.1841687276951879,0.0010644985728691524,0.19070491932950864
Rgs6,593.5453577254259,-0.1390318674060498,0.2555135140890336,0.0010994088753833967,0.19309715688719167
Tmed9,3331.024658634176,0.12806405934955967,0.14809318642299468,0.0010892255240279247,0.19309715688719167
Crybb1,142.61348573668013,0.13108211362810082,0.2814271836865514,0.001158428814708373,0.19958128673475775
Fgfr3,6944.416090438201,0.12261367162790533,0.12669900642618345,0.0011586075255604134,0.19958128673475775
Adamts14,268.6077090586263,0.11981133075635542,0.3011279921066383,0.0011996228883153727,0.2029573981724359
