Gene_Name,Imprinting_Category
Adamts14,P
Adamts16,P
Adamts18,P
Adamts19,P
Adamts4,M
Adamts5,P
Adamts7,P
Adamtsl1,P
Adamtsl3,M&P
Adarb2,M
Adat3,P
Adcy10,P
Adcy4,M&P
Adcy7,M
Adcyap1,P
Adgb,P
Adgra3,M
Adgrd1,P
Adgre4,P
Adgre5,M
Adgrf1,P
Adgrf2,P
Adgrf4,M&P
Adgrg1,P
Adgrg2,M&P
Adgrg4,P
Adgrg5,P
Adgrg6,P
Adgrl1,M
Adgrv1,P
Adh1,P
Adh7,P
Adi1,M
Adm,P
Adora2a,P
Adora3,P
Adpgk,M
Adprhl1,P
Adra2b,P
Adrb2,P
Adrb3,P
Adssl1,P
Adtrp,P
Aff2,P
Afmid,P
Afp,P
Agap3,M
Agbl1,P
Agbl2,P
Agbl4,M
Ager,P
Agmat,P
Agpat1,M
Agpat2,P
Agtr1a,M&P
Agtr1b,P
Agtr2,P
Agxt2,P
Ahcy,M
Ahnak2,M&P
Ahr,M
Ahrr,P
Aif1,M
Aifm1,P
Aim2,M&P
Aire,P
Airn,M&P
Ajuba,P
Ak7,P
Ak8,P
Ak9,P
Akap14,M&P
Akap17b,P
Akap1,M
Akap3,P
Akip1,P
Akna,P
Aknad1,P
Akr1b10,M
Akr1b7,P
Akr1b8,M&P
Akr1c13,P
Akr1c14,M
Akr1c18,P
Akr1c19,P
Akt1,P
Aktip,M
Alad,P
Alas1,M
Alas2,M&P
Alb,P
Aldh1a2,P
Aldh1a3,P
Aldh1a7,P
Aldh1l2,P
Aldh3a1,P
Aldh3b2,P
Aldh3b3,P
Aldh4a1,M
Aldh8a1,P
Aldoart1,P
Aldoart2,P
Aldob,P
Alg13,P
Alg8,M
Alg9,P
Alkal2,M&P
Allc,P
Alms1-ps2,P
Alox12,P
Alox12e,P
Alox15,P
Alox5,M&P
Alox8,M
Aloxe3,M
Alpk2,P
Alpk3,P
Alpl,M
Alx1,P
Alx3,P
Alx4,P
Alyref2,M
Amacr,M
Amd2,M&P
Amdhd1,P
Amdhd2,M
Amer1,P
Amfr,M
Amh,P
Amhr2,P
Amigo2,M
Amigo3,M&P
Ammecr1,P
Amot,P
Amotl2,M
Amy2b,P
Anapc13,M
Anapc15,P
Ang,P
Angpt1,M
Angpt2,P
Angpt4,P
Angptl1,M&P
Angptl2,P
Angptl3,P
Angptl7,P
Ankdd1a,M
Ankdd1b,P
Ankef1,P
Ankfn1,M&P
Ankle1,P
Ankmy1,P
Ankrd22,P
Ankrd23,P
Ankrd29,P
Ankrd2,P
Ankrd31,P
Ankrd33,P
Ankrd34c,M&P
Ankrd46,M
Ankrd61,P
Ankrd65,M&P
Ankrd66,P
Ankrd7,P
Anks4b,P
Ankub1,P
Ano1,P
Ano2,M&P
Ano5,M&P
Ano7,P
Anp32a,M
Antxr2,M&P
Anxa1,M&P
Anxa4,M
Anxa8,P
Anxa9,M&P
Aoah,P
Aoc3,P
Aox2,P
Aox3,P
Aox4,M
Ap1g1,P
Ap1m2,P
Ap1s2,P
Ap2s1,M
Ap4s1,P
Ap5s1,M
Apela,P
Apex2,P
Aph1c,M
Apln,P
Aplnr,M&P
Apoa2,M&P
Apob,P
Apobec1,P
Apobec2,P
Apobec3,M
Apobec4,P
Apobr,P
Apoc1,P
Apoc3,P
Apod,M
Apoe,M&P
Apof,M
Apoh,P
Apol10b,P
Apol11b,P
Apoo-ps,P
Apoo,P
Apool,P
Appbp2os,P
Aqp1,P
Aqp3,P
Aqp5,P
Aqp6,P
Aqp7,P
Aqp9,M&P
Ar,P
Araf,P
Arc,M
Areg,P
Arf1,M
Arf2,M
Arf5,M
Arg1,P
Arg2,P
Arhgap11a,M
Arhgap20os,P
Arhgap22,P
Arhgap25,P
Arhgap27os3,P
Arhgap28,P
Arhgap30,M
Arhgap33os,P
Arhgap36,P
Arhgap40,P
Arhgap4,P
Arhgap6,P
Arhgap8,P
Arhgap9,P
Arhgdib,M
Arhgef10l,P
Arhgef11,M
Arhgef16,P
Arhgef33,P
Arhgef37,P
Arhgef38,P
Arhgef39,P
Arhgef5,P
Arhgef6,P
Arhgef9,P
Arid1b,M
Arid3c,P
Arid4a,M
Arl11,P
Arl2bp,M
Arl4aos,P
Arl4d,M
Arl5b,M
Arl5c,P
Arl6,M
Arl6ip1,M
Arl8a,M
Arl9,P
Armc12,P
Armc4,P
Armc5,P
Armcx3,P
Armcx4,P
Armcx5,P
Armcx6,P
Armh1,P
Armh2,P
Arntl2,M
Arpc5,M
Arr3,P
Arsi,M
Arsj,P
Art1,P
Art3,M&P
Art4,P
Artn,M&P
Arx,P
Arxes1,P
Arxes2,P
Asah1,M
Asap2,M
Asap3,P
Asb10,P
Asb11,P
Asb14,P
Asb15,P
Asb18,P
Asb2,P
Asb4,P
Asb5,P
Ascl1,M
Ascl2,P
Ascl3,P
Ascl4,P
Ascl5,P
Asf1b,M&P
Asgr1,P
Asgr2,P
Asic3,P
Asic4,P
Aspdh,M
Aspm,P
Aspn,P
Asprv1,M&P
Aste1,M
Astn2,P
Atad3aos,P
