Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Cdh15,Imprinted,Paternal,KO_M2,151,KO Male,7.247927513443585
Cdh15,Imprinted,Paternal,KO_M3,158,KO Male,7.312882955284356
Cdkn1c,Imprinted,Maternal,WT_M1,503,WT Male,8.977279923499916
Cdkn1c,Imprinted,Maternal,WT_M2,745,WT Male,9.543031820255237
Cdkn1c,Imprinted,Maternal,WT_M3,446,WT Male,8.804131021183318
Cdkn1c,Imprinted,Maternal,WT_F1,1219,WT Female,10.252665432450248
Cdkn1c,Imprinted,Maternal,WT_F2,153,WT Female,7.266786540694901
Cdkn1c,Imprinted,Maternal,WT_F3,676,WT Female,9.403012023574997
Cdkn1c,Imprinted,Maternal,HT_F1,1353,HT Female,10.403012023574997
Cdkn1c,Imprinted,Maternal,HT_F2,277,HT Female,8.118941072723507
Cdkn1c,Imprinted,Maternal,HT_F3,267,HT Female,8.066089190457772
Cdkn1c,Imprinted,Maternal,KO_M1,541,KO Male,9.08214904135387
Cdkn1c,Imprinted,Maternal,KO_M2,176,KO Male,7.467605550082998
Cdkn1c,Imprinted,Maternal,KO_M3,194,KO Male,7.60733031374961
Chrac1,Imprinted,Maternal,WT_M1,264,WT Male,8.049848549450562
Chrac1,Imprinted,Maternal,WT_M2,455,WT Male,8.832890014164741
Chrac1,Imprinted,Maternal,WT_M3,195,WT Male,7.614709844115208
Chrac1,Imprinted,Maternal,WT_F1,358,WT Female,8.487840033823051
Chrac1,Imprinted,Maternal,WT_F2,239,WT Female,7.906890595608519
Chrac1,Imprinted,Maternal,WT_F3,362,WT Female,8.50382573799575
Chrac1,Imprinted,Maternal,HT_F1,536,HT Female,9.068778277985412
Chrac1,Imprinted,Maternal,HT_F2,311,HT Female,8.285402218862249
Chrac1,Imprinted,Maternal,HT_F3,245,HT Female,7.94251450533924
Chrac1,Imprinted,Maternal,KO_M1,227,KO Male,7.832890014164741
Chrac1,Imprinted,Maternal,KO_M2,308,KO Male,8.271463027904375
Chrac1,Imprinted,Maternal,KO_M3,261,KO Male,8.03342300153745
Commd1,Imprinted,Maternal,WT_M1,656,WT Male,9.35974956032233
Commd1,Imprinted,Maternal,WT_M2,920,WT Male,9.847057346091336
Commd1,Imprinted,Maternal,WT_M3,468,WT Male,8.873444112515376
Commd1,Imprinted,Maternal,WT_F1,738,WT Female,9.52943055414615
Commd1,Imprinted,Maternal,WT_F2,603,WT Female,9.238404739325079
Commd1,Imprinted,Maternal,WT_F3,789,WT Female,9.625708843064466
Commd1,Imprinted,Maternal,HT_F1,1007,HT Female,9.977279923499916
Commd1,Imprinted,Maternal,HT_F2,611,HT Female,9.257387842692651
Commd1,Imprinted,Maternal,HT_F3,613,HT Female,9.262094845370179
Commd1,Imprinted,Maternal,KO_M1,493,KO Male,8.948367231584678
Commd1,Imprinted,Maternal,KO_M2,585,KO Male,9.194756854422248
Commd1,Imprinted,Maternal,KO_M3,679,KO Male,9.409390936137703
Copg2,Imprinted,Maternal,WT_M1,8341,WT Male,13.026177596889225
Copg2,Imprinted,Maternal,WT_M2,12840,WT Male,13.648469937061385
Copg2,Imprinted,Maternal,WT_M3,5390,WT Male,12.396337194231098
Copg2,Imprinted,Maternal,WT_F1,7709,WT Female,12.912515144802397
Copg2,Imprinted,Maternal,WT_F2,6736,WT Female,12.71789058398728
Copg2,Imprinted,Maternal,WT_F3,8697,WT Female,13.086467993464069
Copg2,Imprinted,Maternal,HT_F1,11241,HT Female,13.456611099574918
Copg2,Imprinted,Maternal,HT_F2,6768,HT Female,12.724727001534445
Copg2,Imprinted,Maternal,HT_F3,7719,HT Female,12.914385132155443
Copg2,Imprinted,Maternal,KO_M1,3608,KO Male,11.817383427897232
Copg2,Imprinted,Maternal,KO_M2,7052,KO Male,12.784021324374178
Copg2,Imprinted,Maternal,KO_M3,7568,KO Male,12.885886991697456
Dact2,Imprinted,Maternal,WT_M1,1387,WT Male,10.43879185257826
Dact2,Imprinted,Maternal,WT_M2,1908,WT Male,10.898601387403938
Dact2,Imprinted,Maternal,WT_M3,832,WT Male,9.702172685365548
Dact2,Imprinted,Maternal,WT_F1,1488,WT Female,10.5401280385821
Dact2,Imprinted,Maternal,WT_F2,1263,WT Female,10.303780748177102
Dact2,Imprinted,Maternal,WT_F3,1568,WT Female,10.615629636968098
Dact2,Imprinted,Maternal,HT_F1,2642,HT Female,11.36796070964157
Dact2,Imprinted,Maternal,HT_F2,1320,HT Female,10.367414751246828
Dact2,Imprinted,Maternal,HT_F3,1673,HT Female,10.709083812550343
Dact2,Imprinted,Maternal,KO_M1,1662,KO Male,10.699572453287269
Dact2,Imprinted,Maternal,KO_M2,1509,KO Male,10.560332834212442
Dact2,Imprinted,Maternal,KO_M3,1456,KO Male,10.508785162064513
Dcn,Imprinted,Maternal,WT_M1,448,WT Male,8.810571634741146
Dcn,Imprinted,Maternal,WT_M2,1648,WT Male,10.687375683437468
Dcn,Imprinted,Maternal,WT_M3,413,WT Male,8.693486957499326
Dcn,Imprinted,Maternal,WT_F1,1409,WT Female,10.461479447286155
Dcn,Imprinted,Maternal,WT_F2,469,WT Female,8.876516946565
Dcn,Imprinted,Maternal,WT_F3,3183,WT Female,11.63662462054365
Dcn,Imprinted,Maternal,HT_F1,4211,HT Female,12.040289721025717
Dcn,Imprinted,Maternal,HT_F2,6609,HT Female,12.690434556395054
Dcn,Imprinted,Maternal,HT_F3,323,HT Female,8.339850002884624
Dcn,Imprinted,Maternal,KO_M1,546,KO Male,9.095397022792557
Dcn,Imprinted,Maternal,KO_M2,2472,KO Male,11.272046524389937
Dcn,Imprinted,Maternal,KO_M3,1848,KO Male,10.852529509404196
Ddc,Imprinted,Paternal,WT_M1,278,WT Male,8.124121311829187
Ddc,Imprinted,Paternal,WT_M2,491,WT Male,8.94251450533924
Ddc,Imprinted,Paternal,WT_M3,161,WT Male,7.339850002884624
Ddc,Imprinted,Paternal,WT_F1,558,WT Female,9.12670447284319
Ddc,Imprinted,Paternal,WT_F2,231,WT Female,7.857980995127572
Ddc,Imprinted,Paternal,WT_F3,534,WT Female,9.06339508128851
Ddc,Imprinted,Paternal,HT_F1,854,HT Female,9.73978060977326
Ddc,Imprinted,Paternal,HT_F2,352,HT Female,8.46352437327118
Ddc,Imprinted,Paternal,HT_F3,223,HT Female,7.807354922057604
Ddc,Imprinted,Paternal,KO_M1,358,KO Male,8.487840033823051
Ddc,Imprinted,Paternal,KO_M2,477,KO Male,8.900866807980748
Ddc,Imprinted,Paternal,KO_M3,431,KO Male,8.754887502163468
Dhcr7,Imprinted,Maternal,WT_M1,2582,WT Male,11.334831928118
Dhcr7,Imprinted,Maternal,WT_M2,3854,WT Male,11.912515144802397
Dhcr7,Imprinted,Maternal,WT_M3,1764,WT Male,10.785452468158542
Dhcr7,Imprinted,Maternal,WT_F1,2768,WT Female,11.43514933836693
Dhcr7,Imprinted,Maternal,WT_F2,2224,WT Female,11.119589620741122
Dhcr7,Imprinted,Maternal,WT_F3,2616,WT Female,11.353698209048035
Dhcr7,Imprinted,Maternal,HT_F1,3919,HT Female,11.936637939002571
Dhcr7,Imprinted,Maternal,HT_F2,1812,HT Female,10.824163209744158
Dhcr7,Imprinted,Maternal,HT_F3,2016,HT Female,10.977995368612962
Dhcr7,Imprinted,Maternal,KO_M1,1434,KO Male,10.486835021563051
