Gene,Status,Expressed_Allele,Sample,Group,Maternal,Paternal,Total_Count,AER,Observed_Expression,log2_total_count
Calcr,Imprinted,Maternal,WT_F3,WT Female,37,0,37,1,Maternal,5.247927513443585
Calcr,Imprinted,Maternal,HT_F1,HT Female,469,0,469,1,Maternal,8.876516946565
Calcr,Imprinted,Maternal,HT_F2,HT Female,1,0,1,1,Maternal,1
Calcr,Imprinted,Maternal,HT_F3,HT Female,1,0,1,1,Maternal,1
Calcr,Imprinted,Maternal,KO_M1,KO Male,47,0,47,1,Maternal,5.584962500721156
Calcr,Imprinted,Maternal,KO_M2,KO Male,14,0,14,1,Maternal,3.9068905956085187
Calcr,Imprinted,Maternal,KO_M3,KO Male,3,0,3,1,Maternal,2
Ccdc40,Imprinted,Paternal,WT_M1,WT Male,78,91,169,-0.07692307692307693,Not Imprinted,7.409390936137702
Ccdc40,Imprinted,Paternal,WT_M2,WT Male,139,125,264,0.05303030303030303,Not Imprinted,8.049848549450562
Ccdc40,Imprinted,Paternal,WT_M3,WT Male,59,49,108,0.09259259259259259,Not Imprinted,6.768184324776926
Ccdc40,Imprinted,Paternal,WT_F1,WT Female,208,168,376,0.10638297872340426,Not Imprinted,8.558420713268664
Ccdc40,Imprinted,Paternal,WT_F2,WT Female,96,38,134,0.43283582089552236,Not Imprinted,7.076815597050831
Ccdc40,Imprinted,Paternal,WT_F3,WT Female,82,110,192,-0.14583333333333334,Not Imprinted,7.592457037268081
Ccdc40,Imprinted,Paternal,HT_F1,HT Female,274,193,467,0.1734475374732334,Not Imprinted,8.870364719583405
Ccdc40,Imprinted,Paternal,HT_F2,HT Female,145,104,249,0.1646586345381526,Not Imprinted,7.965784284662087
Ccdc40,Imprinted,Paternal,HT_F3,HT Female,85,0,85,1,Maternal,6.426264754702098
Ccdc40,Imprinted,Paternal,KO_M1,KO Male,73,76,149,-0.020134228187919462,Not Imprinted,7.22881869049588
Ccdc40,Imprinted,Paternal,KO_M2,KO Male,82,49,131,0.25190839694656486,Not Imprinted,7.044394119358453
Ccdc40,Imprinted,Paternal,KO_M3,KO Male,75,16,91,0.6483516483516484,Not Imprinted,6.523561956057013
Cd81,Imprinted,Maternal,WT_M1,WT Male,7968,6011,13979,0.13999570784748552,Not Imprinted,13.7710767402628
Cd81,Imprinted,Maternal,WT_M2,WT Male,12089,10045,22134,0.09234661606578115,Not Imprinted,14.434041752985229
Cd81,Imprinted,Maternal,WT_M3,WT Male,7087,3646,10733,0.3206000186341191,Not Imprinted,13.389900172773064
Cd81,Imprinted,Maternal,WT_F1,WT Female,10977,5399,16376,0.34062042012701516,Not Imprinted,13.999383482467573
Cd81,Imprinted,Maternal,WT_F2,WT Female,7469,6067,13536,0.10357565011820331,Not Imprinted,13.724620431263602
Cd81,Imprinted,Maternal,WT_F3,WT Female,10554,6805,17359,0.21596866178927357,Not Imprinted,14.083479327331842
Cd81,Imprinted,Maternal,HT_F1,HT Female,13805,10021,23826,0.15881809787626963,Not Imprinted,14.540309696265187
Cd81,Imprinted,Maternal,HT_F2,HT Female,9248,5255,14503,0.2753223471005999,Not Imprinted,13.824163209744158
Cd81,Imprinted,Maternal,HT_F3,HT Female,8018,5411,13429,0.19413210216695212,Not Imprinted,13.713171684314805
Cd81,Imprinted,Maternal,KO_M1,KO Male,6426,4152,10578,0.2149744753261486,Not Imprinted,13.368915639966843
Cd81,Imprinted,Maternal,KO_M2,KO Male,9850,4927,14777,0.3331528727075861,Not Imprinted,13.851163413220117
