Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Fmo2,158.38613882288516,0.9085210664908662,0.3883909963054348,3.153825032921986e-5,0.006532217607344802
Ddx4,139.26214840888136,0.7663042701679695,0.3073611965223209,3.2754291774589405e-5,0.006703321784487696
Hyi,191.67432198702326,0.8600708280805976,0.3654190675771865,3.410464415112915e-5,0.0068975639717889555
Zfhx2,5265.045183461324,-0.49633702915271166,0.19395468790358175,3.54677532250293e-5,0.007089838903389287
Epb41l3,12056.44859872267,-0.23482708380265377,0.09333392080142423,3.8035896340761106e-5,0.007491197806008533
Hk2,618.4938798547756,0.4905881055325506,0.19442671113794951,3.834712389789721e-5,0.007491197806008533
Pcdhga9,948.8227009733549,-0.5604093142158736,0.2260606503541866,4.2296496389129206e-5,0.008169877184556406
Shcbp1l,92.06544916923144,0.7997356621917913,0.3498652399791009,4.3274950204764765e-5,0.008175161197473748
Tgtp1,68.19062872186666,-1.5827034417485462,1.1473666178800106,4.296923057873066e-5,0.008175161197473748
Rnf17,73.81403949159942,1.0552275663523443,0.5455246758953767,4.624858563717712e-5,0.008641950387920781
Tsix,37.048330643726416,-1.3286347810583146,0.782430610279771,4.7678149363166e-5,0.008813280276367599
Trim65,262.6794949950094,0.5250724021070505,0.2186286514137116,5.001531951729655e-5,0.00914695061512601
Rbms1,627.7100054763858,-0.49122416778825717,0.2057659392278866,5.174251159257702e-5,0.009363215966189383
Slc16a6,655.2408387285537,-0.6686502375880108,0.29232212148054226,5.52985316684762e-5,0.009902469353258066
Zfp991,142.39946879149545,-0.8156123129919892,0.3937206318842462,5.879814367357707e-5,0.01042060709167488
Rbm20,516.51779833693,0.9893642921842718,0.5383083582779222,5.9764169868231046e-5,0.010483733104130203
Rab3d,1213.3298515257077,0.34050051650615754,0.14572511190976373,6.089173780302308e-5,0.010573634995674442
Ror1,730.4829999172335,-0.7784461892597951,0.3776562841142087,6.486370054618479e-5,0.011150718760894627
Egfl6,196.1834125524365,-0.8679166286624126,0.45113836148942815,6.593578018135223e-5,0.011222792050471548
Srgap1,2007.8428650675748,-0.46682311145936883,0.20568151061806692,6.720288564892564e-5,0.01132632163912432
AI854703,961.9707144073762,0.4381451168659438,0.19564246825636739,7.250164003825075e-5,0.012089798386548844
Il10rb,397.3711297818134,-0.4555798912484504,0.2040334335540647,7.313937712762956e-5,0.012089798386548844
Smim10l2a,1407.7155628762166,0.28378315243699115,0.12507684056503351,7.688702844121634e-5,0.01258823719936143
Plcxd1,289.30081769399163,0.768359213730862,0.39506934179367265,7.954743182944765e-5,0.012900942458302212
Cacng3,2057.46953424954,-0.3463728989144038,0.1572678475304788,8.419410364713951e-5,0.0135269236990465
Ncf1,316.8919129883206,0.45310793633145924,0.2107531972198044,8.794341146780434e-5,0.013998473949472448
Ifit3b,120.72814486333051,0.5034430846840363,0.24143718036285508,9.782133354096406e-5,0.0154279499532359
Ccr6,73.28974593839031,-0.7084178416751409,0.3780623412490247,1.0194536047235874e-4,0.01593220628982108
Gm13205,245.1532356664841,0.9140994503508216,0.5833659895392036,1.0305837768259467e-4,0.015961050186860223
Cast,447.741227753019,-0.6016579366330597,0.30491630693096206,1.0760236817098195e-4,0.01651600277881563
Tmem191c,1370.4485796814233,0.6867613538508078,0.3751047562161661,1.1468815703934442e-4,0.01744782396162274
Col9a2,86.5725089394532,0.9823719728529364,0.7057745269842112,1.1882295991678391e-4,0.01776248264286463
Myl1,31.96581780166355,-1.0772117694819987,0.8373334329670952,1.1838700291339129e-4,0.01776248264286463
Camk1,1535.3205917470411,0.35355702908089026,0.17329467248407804,1.2338628362893052e-4,0.018129347024486705
Pmaip1,316.39472596290244,0.5764039502071115,0.2997024196817299,1.2287671006404598e-4,0.018129347024486705
Wnt2b,91.50303756478337,1.1316562493509796,1.0707497946876317,1.269384070130169e-4,0.0184932047030574
Zar1,6.250569366050354,0.4170225614703815,1.0333048238403517,1.3395269866723827e-4,0.019351099519231037
Kcnk6,192.33031155844176,0.49005540871214703,0.2542115596210179,1.3714776388745487e-4,0.019647560074910305
Cx3cr1,2882.309748886908,-0.35458503664446916,0.18022035557192276,1.4649475648827903e-4,0.020642552121229545
Tomm6os,164.4370028455799,0.7037290462807304,0.42711304532146793,1.457641342401958e-4,0.020642552121229545
Eid2b,1846.2546985229103,0.2908434492214481,0.14555658928215312,1.5414283626378458e-4,0.021543654456997727
Kcng3,765.390040036414,0.604654651988402,0.34666650208608707,1.5934320162598739e-4,0.022090878864131847
Acer2,426.8312908153239,0.5664361907491479,0.32125716529571446,1.672081017231693e-4,0.022456831849398465
Ces5a,56.604689692237066,0.9483882232444736,0.7917096302218661,1.6458343799197772e-4,0.022456831849398465
Gm19439,76.89889886136062,0.7199031449661231,0.4714250766933958,1.6687288475792674e-4,0.022456831849398465
Jun,5175.152063803184,0.3283162093197354,0.16942927358996837,1.6480170033132693e-4,0.022456831849398465
Hpcal4,57991.48176589203,0.21807314703593145,0.10655785362852693,1.7042766392828712e-4,0.022711798221637082
Rps18,1399.6540422116925,0.708317181482978,0.4659432795183504,1.735787604661217e-4,0.022778568482237395
Zfp595,279.0917085098869,-0.45821464632622333,0.24976076410174716,1.7308867530156226e-4,0.022778568482237395
A930003A15Rik,10.353826165737571,0.9743082512112293,1.0915562899613045,1.7983235939860758e-4,0.02333649186060936
Smyd4,1154.1134600894088,0.32080746245185815,0.16824744057591448,1.805452514374408e-4,0.02333649186060936
Pde5a,1799.533753262348,-0.2863048507655942,0.14862220665039658,1.8734002168508757e-4,0.02403404711036075
Asap1,6482.095870653541,-0.36339783840369855,0.19791428058168548,1.9678533126268557e-4,0.024874534042182556
Pnpla1,35.00034243768733,0.8136985089639207,0.6473012352984084,1.9598786866895904e-4,0.024874534042182556
C030006K11Rik,654.3530458606479,0.3539498813289635,0.19318171172244325,2.019604478473162e-4,0.025342350795205932
4930593C16Rik,6.109062717335366,0.40759415769412183,0.9809821755666488,2.039832018171544e-4,0.025393729245568895
Pnldc1,76.08240742238875,0.7372752924149231,0.5467795306571728,2.0532420249747406e-4,0.025393729245568895
Ccdc88b,249.7038425638535,0.5849312978691313,0.3668867803400385,2.141896018817597e-4,0.026204617068350446
Rnf212,58.43807033434004,0.6430798555870942,0.4323791128819743,2.1645370389772342e-4,0.026204617068350446
Trank1,24185.72460232436,0.24935585434518032,0.1300152670612497,2.1606584142278235e-4,0.026204617068350446
Ctsc,1367.7176989776324,-0.4230168451022297,0.24250297871103413,2.2070716394191454e-4,0.026479218596613292
Pln,44.03316466754995,-0.8115758853586615,0.6943500797577847,2.2180254074296516e-4,0.026479218596613292
Glrx3,4061.966917545349,-0.29767183302673317,0.16224408741794688,2.2846475840364135e-4,0.027086466632531024
Hrk,4039.359269310194,0.39870677560705375,0.23110706106544437,2.392687612399734e-4,0.028173077222440977
Mov10l1,8.954501594242632,0.3508045906501718,0.9160699528739614,2.4626263532203594e-4,0.028706552103206048
Rassf9,181.08579555907104,-0.5733054825495584,0.3760193177241886,2.471391839494209e-4,0.028706552103206048
Pnmal1,11427.315139202276,0.3187227772864535,0.17995892067085836,2.522694773602556e-4,0.029105802585907073
Stat6,725.8914886243801,-0.4536257567328216,0.2745130278720187,2.5519832009666705e-4,0.02924742880521202
Gck,98.57559061062646,0.7118123024517081,0.5922005506493406,2.661709183992614e-4,0.030302942107296046
Fancc,353.06135667388145,0.40491816167168765,0.24381726680262547,2.7320282006471525e-4,0.03082358991067945
Prr5,643.0172660274586,0.3755346949284034,0.22315006763806966,2.7433012950578537e-4,0.03082358991067945
Cntfr,2639.3315872342832,0.25367521403198423,0.1397804010257575,2.79721867878046e-4,0.030961670420784567
Nat8f4,720.3454225158774,0.2672727511729186,0.1488795688003762,2.7890206861932754e-4,0.030961670420784567
Rhbdl1,2816.501358791859,0.4135262264136688,0.25201068366521895,0.00028096216541460025,0.030961670420784567
Megf6,414.24626773153113,0.6382906366345217,0.49159793285574394,2.858387470484734e-4,0.03129843248732679
Sipa1,825.8646787972766,0.3146777750472933,0.1831993391703397,2.901055487419116e-4,0.03156458536976077
Rin1,6718.870909285958,0.2064242930430628,0.10964961954420195,2.967076443271874e-4,0.032079881217790436
Rlbp1,551.3569615044611,0.32084851304788803,0.18994911236969678,3.055712919752939e-4,0.032831725502170485
Sema4b,1863.6014988133675,0.29056612115178004,0.16868944379193226,3.083778778335442e-4,0.03292747886854943
Klhl35,65.97101055091515,0.5473894726849837,0.38396675516794615,3.1090956479417676e-4,0.032992878570226494
2900052N01Rik,3136.750356740047,0.6023267922874173,0.4657517264918463,3.2010172712215404e-4,0.03327437344715288
