"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Cdkn1c_JF1",-0.000401136086210926,-0.00107673257705285,0.010182239610039,0.00401011464412277,"Maternal","imprinted"
"Chrac1_129",-0.000783603446198885,-0.00452607273050708,-0.00141750755897909,-0.000901558207708558,"Maternal","active"
"Chrac1_JF1",0.000612108516329099,0.0333290058682001,0.00237086294073833,-0.00205537912507159,"Maternal","imprinted"
"Copg2_129",0.000786890811958556,-0.00292377870360548,-0.0106977357870392,0.000379884241866058,"Maternal","active"
"Copg2_JF1",-0.00138795961870024,-0.0527821004622972,-0.0096773301247195,0.00107559341602102,"Maternal","imprinted"
"Dact2_129",-5.57104312873964e-05,0.0370696756076923,0.00718853747933203,-0.015669872841512,"Maternal","active"
"Dact2_JF1",0.00459339171913659,0.0430269901519607,0.0245127363264482,0.00297764810184673,"Maternal","imprinted"
"Dcn_129",0.00166228302627761,0.0159111529646381,-0.0144403898996547,-0.015350128240847,"Maternal","active"
"Dcn_JF1",0.00205072104467931,0.0218955021992647,-0.0173864957748944,-0.0163962989239442,"Maternal","imprinted"
"Ddc_129",0.000105272782025344,0.00740024180101613,0.0101958650021125,0.00102374311266084,"Paternal","imprinted"
"Ddc_JF1",-0.00029720095157198,0.012295073103375,0.00426288455512973,-0.0123487037771867,"Paternal","active"
"Dhcr7_129",-0.00100285036680306,-0.00466786125844877,0.0192177390353251,0.000117496843810052,"Maternal","active"
"Dhcr7_JF1",-0.00566810061108463,-0.0559626085076267,0.00986374894897774,3.06451487809962e-05,"Maternal","imprinted"
"Dlk1_JF1",0.00120791169963808,0.00757820869892927,0.000902468710819983,-0.00247241249007599,"Paternal ",NA
"Ftx_129",0.000340295763454464,0.00634214451613348,0.116659421855195,0.0588426816133974,"Paternal","imprinted"
"Ftx_JF1",0.000297049906040843,0.00125779796286423,-4.17847739129921,-4.12532923605088,"Paternal","active"
"Gab1_129",-0.00127435764954054,0.0144589260210256,0.010482659400731,-0.00249980346558222,"Paternal","imprinted"
"Gab1_JF1",-0.00781762660108217,-0.0297405124359616,0.00993770878809913,-0.000705289235863286,"Paternal","active"
"Galnt6_129",-0.00373934830528942,0.00782404452168919,0.007661294660795,-0.0335702097823207,"Paternal","imprinted"
"Galnt6_JF1",-0.00162195558048267,-0.010188802018471,0.0107131529567993,0.00058565139172879,"Paternal","active"
"Gatm_129",-0.0141297154835757,-0.0516060496267246,-0.0205228632721942,-0.0031706568742804,"Maternal","active"
"Gatm_JF1",-0.00953037741009272,-0.00984674030025334,0.0179591490718387,-0.00194693965574683,"Maternal","imprinted"
