Gene,Status,Expressed_Allele,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Sgce,Imprinted,Paternal,1193,1885,753,1244,1027,1275,2098,1145,1246,599,1166,1090
Slc22a18,Imprinted,Maternal,19,27,16,32,6,29,53,12,4,12,3,7
Slc22a2,Imprinted,Maternal,5,8,2,6,1,12,27,2,3,2,3,5
Slc22a3,Imprinted,Maternal,13,19,22,47,7,44,81,12,26,17,13,18
Slc38a4,Imprinted,Paternal,49,106,39,61,44,85,144,97,73,17,55,59
Smoc1,Imprinted,Paternal,609,1519,628,759,662,1230,4024,648,450,1110,1347,1048
Smoc2,Imprinted,Maternal,2928,4265,1815,3423,3158,2056,3045,790,3658,1735,2527,2917
Snrpn,Imprinted,Paternal,90,187,117,108,131,161,232,159,92,51,150,130
Snurf,Imprinted,Paternal,0,0,0,0,0,0,0,0,0,0,0,0
Snx14,Imprinted,Paternal,4353,6665,3097,4595,3991,4960,7104,4234,3910,2150,3976,4304
Tfpi2,Imprinted,Maternal,5,5,1,3,3,3,1,1,3,0,3,2
Th,Imprinted,Maternal,21,44,6,71,6,19,101,8,9,15,22,14
Thbs2,Imprinted,Maternal,932,1033,572,1030,235,735,797,385,278,353,199,363
Tnfrsf22,Imprinted,Maternal,90,139,57,107,71,99,150,68,68,43,59,52
Tnfrsf23,Imprinted,Maternal,23,33,14,27,30,18,49,17,14,6,12,11
Tnfrsf26,Imprinted,Maternal,1,1,2,2,1,0,2,1,0,0,1,0
Trappc9,Imprinted,Maternal,5887,10381,4534,6276,5659,7172,10521,5951,5466,5156,6321,6483
Tsix,Imprinted,Maternal,61,60,29,71,23,51,92,24,48,6,12,12
Tssc4,Imprinted,Maternal,1038,1569,816,1243,1017,1262,1926,1053,964,1199,963,1217
Ube3a,Imprinted,Maternal,25390,36069,15602,24081,21744,27864,38051,21766,24280,11428,23376,25004
Usp29,Imprinted,Paternal,3501,6337,2393,4316,3290,4442,12230,2954,3789,2281,4707,3995
Wt1,Tissue Dependent,Maternal,2,1,0,0,1,1,1,3,1,0,0,0
Xist,Imprinted,Paternal,61,3,4,59367,44643,56016,77782,38485,61497,1,0,32
Xlr3b,Imprinted,Maternal,40,236,73,76,5,114,267,83,239,62,146,240
Zdbf2,Imprinted,Paternal,2395,3672,1563,2970,2792,3961,10896,2779,2432,3351,4382,3759
Zfp64,Imprinted,Paternal,559,958,402,618,470,624,951,591,574,297,576,565
Zim1,Imprinted,Maternal,170,343,136,254,242,319,1356,174,186,169,221,160
Zim2,Imprinted,Maternal,0,2,1,7,0,0,4,0,2,2,2,2
Zim3,Imprinted,Maternal,3,7,2,7,6,2,26,5,9,4,4,6
