"gene_symbol","log2FC_HTF_vs_WTF","padj_HTF_vs_WTF","log2FC_KOM_vs_WTM","padj_KOM_vs_WTM","log2FC_KOM_vs_HTF","padj_KOM_vs_HTF","log2FC_WTM_vs_WTF","padj_WTM_vs_WTF","expressed_allele","allele_status"
"Pon3_JF1",-0.00231784977701324,1,-0.0207899227749108,0.721991879281408,-0.00384366552226123,0.995914032177077,-0.000820999881975399,1,"Maternal","imprinted"
"Ppp1r9a_129",0.00151544010582018,1,0.0429844368591105,0.822414658649518,-0.0301061127585623,0.922808782899387,-0.000224200490967954,1,"Maternal","active"
"Ppp1r9a_JF1",0.000481627907777641,1,0.0143563242197427,0.966581641078963,-0.00995188078149748,0.994799281013691,-0.00010401854363514,1,"Maternal","imprinted"
"Prkn_129",0.00115710324579323,1,0.00743522168974879,0.966581641078963,0.0115465690790439,0.962996363720318,0.00654637641322919,1,"Maternal","active"
"Prkn_JF1",-0.000139560962382287,1,-0.0156377067797562,0.932310482015369,-0.00245215323920396,1,0.00112784255742586,1,"Maternal","imprinted"
"Qpct_129",-0.000401299453218873,1,0.00520862686261443,0.993938006967003,0.0234401936610829,0.908875953424676,0.000648505870032995,1,"Maternal","active"
"Qpct_JF1",-0.00146617557691358,1,0.00518291495208805,0.989356515547403,0.0119562460183352,0.968059727315593,-0.00183493485141948,1,"Maternal","imprinted"
"Rasgrf1_129",0.00135196615996012,1,0.0156528607164999,0.951235786692594,0.0216012186106471,0.93640153456053,0.00243859284842326,1,"Paternal ",NA
"Rasgrf1_JF1",0.00015947092071665,1,0.00695153083849614,0.991729795620339,0.0179355475757524,0.969178470237886,0.000364779599832789,1,"Paternal ",NA
"Rian_129",0.00120987013580669,1,-0.188047765860498,0.179523050304334,-1.3529269675441,0.0545881180176328,0.00650610945387434,1,"Maternal","active"
"Rian_JF1",-0.00089567268357335,NA,0.00607579734109207,NA,0.0149597092869755,NA,-0.00719981511944971,NA,"Maternal","imprinted"
"Sall1_129",0.000397897673988792,1,-0.00130749159922224,0.998910534144284,-0.0116461806077476,0.938396885236147,-0.00296731287921106,1,"Paternal","imprinted"
"Sall1_JF1",-0.00152208465558626,1,-0.00931517906134988,0.967501227699879,0.011408482839511,0.972777754577563,0.000314997964169706,1,"Paternal","active"
"Sfmbt2_129",-0.00125827678871705,1,0.00296321217429567,0.994800318911477,0.0344149993716904,0.728832260097745,0.00265163818779378,1,"Paternal","imprinted"
"Sfmbt2_JF1",0.000954050735699767,1,0.0133725285476463,0.952294866558633,-0.0184805173541555,0.936518262691739,-0.00154246916505529,1,"Paternal","active"
"Sgce_129",0.000357166528590185,1,0.00366895857245894,NA,-0.00188899324100112,1,-0.0111905155564052,1,"Paternal","imprinted"
"Sgce_JF1",0.00119788436233518,1,-0.0254221296756056,0.911877241408217,-0.0658937534741009,0.538387643135364,-6.73256109302365e-06,1,"Paternal","active"
"Slc38a4_129",0.00307017765579385,1,0.00479183348514493,0.980259177915935,-0.0175954404766174,0.902495348066025,0.0014286796174603,1,"Paternal","imprinted"
"Slc38a4_JF1",-0.000159407394060089,1,-0.00544987674728476,0.930707593143315,-0.0162103934156425,0.940726759415846,-0.00285172065246268,1,"Paternal","active"
"Smoc1_129",0.00120102519437272,1,0.0188642032084381,0.859100659069088,0.00862362382982326,0.98214641077938,0.000891781517857989,1,"Paternal","imprinted"
"Smoc1_JF1",0.00169179393448429,1,0.0318821506851591,0.64369468249437,0.00249480240545356,1,-0.00304477577601691,1,"Paternal","active"
"Smoc2_129",-0.00199799295219955,1,0.000218994856667747,1,0.0166551027860316,0.927461580121712,-0.00124803580834472,1,"Maternal","active"
"Smoc2_JF1",-0.000844474397756503,1,-0.000477966574481296,1,0.0096914049757778,0.978161430797345,-7.23096206026823e-05,1,"Maternal","imprinted"
"Snrpn_129",0.000688125998772206,1,0.00495860163253119,NA,0.000344044398558375,1,-0.00338384013289472,1,"Paternal","imprinted"
"Snrpn_JF1",0.000153152823041898,1,-0.0028673620534695,0.997985620458971,-0.00810756089671624,0.990144104658961,-0.000544398868175411,1,"Paternal","active"
"Snurf_129",0,NA,0,NA,0,NA,0,NA,"Paternal","imprinted"
"Snurf_JF1",0,NA,0,NA,0,NA,0,NA,"Paternal","active"
