Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
Dsp,1301,1421,3211,3623,1826,355,2417,2888,3146,4694,1656,2806
Dspp,0,1,1,3,2,0,0,4,1,1,0,6
Dst,29780,26744,36766,45596,69122,37219,35923,44688,67369,40470,39931,45881
Dstn,4405,5724,7368,8962,12049,7985,7506,8728,12726,8335,7131,9820
Dstyk,4560,4401,6508,6959,10421,6031,6878,7039,9887,6520,6069,7214
Dtd1,1705,899,1711,1538,2391,1426,1880,1757,2618,1808,1516,2092
Dtd2,494,338,492,481,966,503,608,505,673,441,372,585
Dthd1,24,27,22,120,98,25,14,47,68,19,44,36
Dtl,117,48,75,116,535,59,60,130,137,183,72,86
Dtna,6520,7902,11791,12176,18350,9953,11434,12191,17476,13630,10629,12159
Dtnb,3064,4263,5481,5772,8877,5166,5050,5192,8467,5034,5022,6415
Dtnbp1,1871,1675,1809,2156,3335,2511,2351,2520,3728,2054,2267,2417
Dtwd1,350,387,532,602,816,542,593,539,775,556,466,639
Dtwd2,138,126,220,228,342,177,216,250,309,211,197,266
Dtx1,3653,2605,3701,3611,7157,4421,3995,3984,6177,3790,3773,4473
Dtx2,257,291,268,380,705,347,313,453,493,237,307,484
Dtx3,5168,5132,6398,6700,10861,6808,6677,6383,10140,6120,5971,7307
Dtx3l,425,530,694,839,1168,687,813,875,1391,741,801,906
Dtx4,2516,3258,4760,4264,8050,6409,4860,4315,7498,3899,3998,5704
Dtymk,603,698,873,930,1647,960,977,906,1380,735,820,1066
Dubr,160,172,183,307,583,530,236,266,475,231,446,332
Duox1,3,2,1,7,7,6,2,0,2,5,8,4
Duox2,1,4,3,9,6,0,0,2,7,3,1,2
Duoxa1,0,0,1,1,3,4,0,1,3,1,0,2
Duoxa2,0,1,4,0,0,1,0,1,1,0,0,1
Dupd1,1,3,1,9,1,2,2,6,2,5,2,2
Dus1l,1218,955,1258,1337,2159,1149,1365,1193,1904,1119,1114,1501
Dus3l,2171,2238,2685,2712,5332,2724,2969,2354,4126,2204,2639,3117
Dus4l,162,238,290,313,499,354,290,304,447,248,310,344
Dusp1,823,572,708,716,1842,604,681,797,966,621,984,821
Dusp10,185,239,273,483,599,241,285,389,566,288,305,396
Dusp11,1465,2810,3238,3457,5657,2749,2996,3544,4776,2976,3015,3469
Dusp12,384,363,431,456,862,466,529,429,673,438,462,569
Dusp13,3,2,0,6,13,2,6,3,7,11,2,7
Dusp14,583,670,900,1354,1887,685,944,1202,1223,1543,678,924
Dusp15,310,256,406,432,877,288,278,269,472,275,271,401
Dusp16,596,729,900,1522,1865,1010,1045,1309,1621,1021,1031,1400
Dusp18,1520,1628,2440,2671,4530,2199,2028,2005,3336,2484,1711,2397
Dusp19,327,433,506,658,1033,747,604,700,1004,666,584,708
Dusp2,19,20,14,20,39,16,30,21,30,29,8,20
Dusp21,0,0,0,0,0,0,0,0,0,0,0,0
Dusp22,842,868,1090,1172,2133,1211,1295,1235,1945,1161,1109,1336
Dusp23,107,99,119,187,254,181,125,155,253,145,145,182
Dusp26,1843,821,1758,1507,4132,1207,1745,869,2271,808,1238,1746
Dusp27,3,5,5,13,32,6,9,10,21,47,14,5
Dusp28,621,320,437,434,780,451,526,488,776,446,389,501
Dusp3,10340,8532,12346,13376,17354,9791,12616,13847,18841,13722,11817,12703
Dusp4,887,788,726,1089,1241,826,875,1429,1785,1310,1099,1015
Dusp5,860,899,705,973,1736,1003,979,1235,1571,901,1487,935
Dusp7,3647,3469,4626,4852,7574,4919,4844,5952,8081,5684,4812,5457
