Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
H3c6_129,375.4825029044338,300.6285522766217,421.55625340076284,412.0766534274115,426.20877281009626,353.23039210167974,378.975392255613,458.1714486833024,395.1612831061043,617.030533532328,374.25403682665234,416.2289235254712
H3c6_JF1,145.5358538389278,146.3759108246433,93.05255091789414,131.94101664265148,45.10145744022183,72.93065309562044,97.17317750143921,123.10681448266303,91.10957197620635,151.63037442035312,104.07626305010837,97.05337880281421
H3c7_129,181.43469778586334,168.03692004981474,210.0731831328216,179.7457328175252,179.27829332488176,175.73651348342275,151.22575748661478,192.68892701634212,193.87269385634607,276.2375137954948,162.947684573402,213.11721324741674
H3c7_JF1,30.077409793378415,38.727258917730744,33.83729124287059,41.112055910391405,20.29565584809982,17.573651348342274,32.18861504735174,37.46729136428875,29.66358157364858,48.041306747042576,24.179333839924166,15.008254454043433
H3c8_129,3.8809561023714085,8.533124846279655,32.42740410775099,36.331584292904026,14.657973668072094,21.967064185427844,7.287988312607942,37.46729136428875,43.435958732842565,34.52968922443685,26.281884608613225,18.009905344852122
H3c8_JF1,35.89884394693553,22.31740344411602,0,0,29.315947336144188,0,17.61263842213586,0,0,0,0,20.011005938724576
H3f3a_129,2746.7466814533645,2461.4783210422083,2478.581583540271,3109.218740013787,2377.974343535696,2304.7843743350895,2244.700400283246,3678.2175179341752,2778.8419452742937,1828.572238059308,2171.9349440557967,2466.3564819478042
H3f3a_JF1,2295.585534552688,1347.577331493241,1863.870792628122,2098.6270400769563,1664.2437795441854,2455.917775930833,1924.6362468878806,1141.1466455523373,2257.610440480183,1289.608827990924,2203.4732055861327,2319.2755882981787
H3f3b_129,2335.365334601995,2695.8110572054266,3716.462488175287,2594.8399939721457,2262.96562706313,1988.4586500649284,1926.4582439660326,2541.352848537757,3020.388252374004,2547.6905484291015,3098.108557663327,2917.6046658660434
H3f3b_JF1,3734.450009506888,2546.15317528606,1932.9552622489828,3919.0306320161476,3141.31651071145,4034.031667011969,3516.4543608333315,3961.89843826379,3106.2007562120584,3202.2533528575564,2850.007566958018,3790.084524794435
H4c12_129,186.2858929138276,139.81196863519742,172.00623048459218,169.22869525905298,161.23771034879303,155.52681443282913,180.37771073704656,213.028313756956,90.05015834857605,412.8549798573971,202.89614917849408,206.11336116886315
H4c12_JF1,85.38103425217099,50.54235485873334,86.00311524229609,145.3263371716161,117.26378934457675,120.3795117361446,146.97443097092682,175.56102239266727,132.42670345378832,159.1368285995785,84.10203074756231,68.03742019166357
H4c14_129,209.57162952805606,168.69331426875934,211.4830702679412,233.28701493338377,214.23192284105366,188.91675199467946,233.21562600345413,266.55301570593997,188.57562571819454,495.4259758288765,265.97267223916583,233.12821918614134
H4c14_JF1,352.19676629020535,248.77340897999918,356.70144518526087,356.623182664558,355.1739773417469,380.46955169161026,433.6353046001725,498.8502221645302,324.1805700548738,576.4956809645108,449.9458644994584,381.2096631327032
H4c18_129,111.577487943178,67.60860455129266,125.47995502564513,103.25818693772725,80.05508695639374,86.98957417429426,84.41919795437532,104.9084158200085,78.39660844464268,34.52968922443685,73.58927690411703,85.04677523957946
H4c18_JF1,32.01788784456412,22.97379766306061,32.42740410775099,33.4633013224116,29.315947336144188,37.783350398935895,29.151953250431767,38.53778540326842,27.54475431838797,49.54259758288765,60.97397229198268,27.01485801727818
H4c2_129,91.2024684057281,42.665624231398276,70.4943567559804,102.30209261422976,71.03479546834937,98.41244755071675,107.49782761096714,130.6002727555208,83.69367658279421,174.14973695802934,88.30713228494044,72.03962137940849
H4c2_JF1,98.96438061047091,55.793508610290054,118.43051935004708,100.38990396723482,81.18262339239928,100.16981268555097,134.82778378324693,112.40187409286624,99.58488099724882,93.08003182239499,107.23008920314196,105.05778117830404
H4c3_129,553.0362445879257,388.5853776151966,563.9548540478432,696.0366675061614,535.5798071026342,558.8421128772843,541.7404645705236,645.5079055047462,515.9344366559593,1085.4332743159932,568.7399829303902,611.3362314280358
H4c3_JF1,899.4115767245739,565.8118167302356,813.5048769640139,707.5097993881311,776.872604407821,834.7484390462581,661.9922717285547,950.5987066139545,781.8472571911661,1112.4565093612046,747.4567982689601,822.4523440815801
H4c4_129,1054.6498208194303,789.6422453903403,1057.4153513397061,950.3577575564896,1106.1132437214403,931.4035214621406,932.8625040138165,1088.692437642333,885.6697926989362,2058.269735943605,1109.0955304834781,1061.5838650493388
H4c4_JF1,832.4650839586672,548.7455670376763,706.3534546949237,813.6362692963507,606.6146025709835,774.9980244618944,833.2599970748413,959.1626589257919,780.7878435635358,729.6273462207091,857.8407136251357,803.4418884397918
H4c9_129,554.9767226391114,298.00297540084335,266.46866853760594,348.0183337530807,354.04644090574135,288.2078821128133,298.8075208169256,345.76957459043615,257.4375115141645,424.86530654415776,341.6644999119719,312.1716926441034
H4c9_JF1,193.07756609297758,128.65326691313942,394.76839783349027,419.7254080153913,339.38846723766926,376.0761388545247,381.40472169314893,499.92071620350987,314.645847406201,710.110565354723,405.79229835698817,391.2151661020655
H6pd_129,292.0419467034485,234.33273616321821,286.2070884292804,282.047825431755,213.10438640504813,282.0571041408935,348.0014419270292,224.80374818573247,214.00155278132192,241.70782457105796,228.1267584027628,222.12216591984281
H6pd_JF1,644.2387129936538,582.8780664227949,578.0537253990393,675.9586867127144,508.5189326385011,606.2909715178085,498.01253469487597,491.3567638916724,604.925181376905,451.8885415893692,640.2267090658181,505.2778999527956
Habp4_129,3211.4911747123406,2960.337927440096,3321.6940903417967,3140.7698526892036,2968.8034360026018,2882.9575036955503,3271.6994200015815,3413.8054903061948,3309.6081727170777,3191.744317006641,3144.3646745744863,2950.6228256649392
Habp4_JF1,4341.819639528013,4002.035552905158,4047.785964928395,3729.7239559636478,3911.4238965032378,3956.7076010792634,4007.786239574984,4097.85118121421,4067.0889164727464,5165.941766142922,3424.003926810131,4349.392140781787
