Gene_Allele,Allele_Source,Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Axl_129,Maternal,Axl,Imprinted,Maternal,KO_M3,1824,KO Male,10.833680748654741
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_M1,1459,WT Male,10.51175265376738
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_M2,2350,WT Male,11.199058823653022
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_M3,898,WT Male,9.812177305514448
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_F1,1224,WT Female,10.258566033889933
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_F2,1150,WT Female,10.16867211813223
Axl_JF1,Paternal,Axl,Imprinted,Maternal,WT_F3,1592,WT Female,10.63753055152531
Axl_JF1,Paternal,Axl,Imprinted,Maternal,HT_F1,2407,HT Female,11.233619676759702
Axl_JF1,Paternal,Axl,Imprinted,Maternal,HT_F2,1444,HT Female,10.496853777388042
Axl_JF1,Paternal,Axl,Imprinted,Maternal,HT_F3,1398,HT Female,10.450180247164754
Axl_JF1,Paternal,Axl,Imprinted,Maternal,KO_M1,1254,KO Male,10.293471648838134
Axl_JF1,Paternal,Axl,Imprinted,Maternal,KO_M2,1575,KO Male,10.622051819456376
Axl_JF1,Paternal,Axl,Imprinted,Maternal,KO_M3,1568,KO Male,10.615629636968098
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M1,2335,WT Male,11.189824558880018
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M2,1939,WT Male,10.92184093707449
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M3,1797,WT Male,10.812177305514448
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F1,959,WT Female,9.906890595608518
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F2,2284,WT Female,11.157978449945432
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F3,1243,WT Female,10.280770770130603
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F1,3035,HT Female,11.567956075415466
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F2,2028,HT Female,10.98655314975666
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F3,654,HT Female,9.355351096424812
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M1,1141,KO Male,10.157346935362844
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M2,1098,KO Male,10.101975670949232
Begain_129,Maternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M3,820,KO Male,9.681238411777805
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M1,2965,WT Male,11.53430288245463
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M2,6415,WT Male,12.64745842645492
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_M3,2500,WT Male,11.28828934218097
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F1,3746,WT Female,11.871520262329113
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F2,2781,WT Female,11.44190670454224
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,WT_F3,4611,WT Female,12.171176797651771
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F1,5586,HT Female,12.44785810495403
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F2,3297,HT Female,11.687375683437468
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,HT_F3,3604,HT Female,11.815783544128184
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M1,4298,KO Male,12.069785394983302
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M2,3888,KO Male,11.925183519434208
Begain_JF1,Paternal,Begain,Imprinted - Isoform Dependent,Paternal,KO_M3,4559,KO Male,12.154818109052105
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M1,2726,WT Male,11.413098984915264
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M2,5070,WT Male,12.308054559066635
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M3,2440,WT Male,11.253256579781153
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F1,3595,WT Female,11.812177305514448
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F2,3357,WT Female,11.71338651493703
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F3,4480,WT Female,12.129605011152504
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F1,7593,HT Female,12.890644283619089
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F2,3918,HT Female,11.936269857602209
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F3,2389,HT Female,11.222794902868111
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M1,2474,KO Male,11.273212809854334
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M2,3671,KO Male,11.842350343413807
Blcap_129,Maternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M3,3372,KO Male,11.719816603018126
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M1,2341,WT Male,11.193525360501216
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M2,3431,WT Male,11.744833837499545
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_M3,1490,WT Male,10.542064542283443
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F1,2325,WT Female,11.183635381473218
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F2,1839,WT Female,10.845490050944376
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,WT_F3,2345,WT Female,11.19598729802851
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F1,3493,HT Female,11.77066389291676
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F2,2085,HT Female,11.026523442519766
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,HT_F3,1945,HT Female,10.926295994781112
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M1,1193,KO Male,10.221587121264806
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M2,1989,KO Male,10.958552715431011
Blcap_JF1,Paternal,Blcap,Imprinted - Isoform Dependent,Maternal,KO_M3,2078,KO Male,11.02167404285837
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_M1,13,WT Male,3.807354922057604
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_M2,9,WT Male,3.321928094887362
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_M3,0,WT Male,0
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_F1,18,WT Female,4.247927513443585
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_F2,3,WT Female,2
Calcr_129,Maternal,Calcr,Imprinted,Maternal,WT_F3,37,WT Female,5.247927513443585
Calcr_129,Maternal,Calcr,Imprinted,Maternal,HT_F1,469,HT Female,8.876516946565
Calcr_129,Maternal,Calcr,Imprinted,Maternal,HT_F2,1,HT Female,1
