Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tafa4,18.151855611227173,0.031412869805638344,0.2525777561627081,0.0015020226048988196,0.30129089389068425
Vopp1,3046.042273161398,0.03533784384461971,0.10062553822003201,0.001516592561029871,0.30129089389068425
Tmcc3,4927.945283410806,-0.030064405433845656,0.08926095420651334,0.0015709796878895356,0.308739739307065
Gpr37,5370.845915740783,-0.05790277978486227,0.1548202222404044,0.001629095834820925,0.3134208902423373
Pde8a,1164.844200051931,-0.07966088794706917,0.21061913615810537,0.0016152253140674807,0.3134208902423373
Camk1,1535.3205917470411,0.048161502643095086,0.13280282877569258,0.0016540281297004592,0.3149028346514093
Bloc1s2,794.768346378527,0.04305876222022188,0.12173739456120479,0.0016899008265952576,0.3151915994004487
Dock3,18615.833066234547,0.0394679697831347,0.11354032380354043,0.0017008865662247739,0.3151915994004487
Ring1,811.1192197439259,-0.06162474762033671,0.1663940169907142,0.0017072806445611655,0.3151915994004487
Glipr1,70.4752481015597,0.07645799661571753,0.2816579866030845,0.0017360654159562301,0.3173006760743202
Lzts1,5336.769394237103,0.05456286639603761,0.15110432404253255,0.001773984533560464,0.32102094376123363
Hexim2,418.77783894036594,0.06835591797693029,0.18778944390896546,0.0017997530569100716,0.32249104530534684
Doc2a,870.3431570965334,0.08090789779219926,0.2529600610107462,0.0018473155194646596,0.3277998616432581
Gpr52,577.693550290135,0.07910772880500617,0.25446468557619445,0.001893060543857209,0.3326871880776751
Caly,5810.7487626754055,0.01761105148614234,0.061628124048835956,0.0019587689606486037,0.3409563837502336
Man1c1,1753.6168683830892,0.037468839526162284,0.11403630397110064,0.0020100151731388296,0.3433368908360597
Mirt1,137.00225187627706,0.06666240647804532,0.26977110906080576,0.0019982851676485017,0.3433368908360597
Evl,4174.893813768603,0.025817112390309035,0.0865965235964625,0.0022291081468949576,0.37506012441741093
H2-D1,568.7175932155254,0.06745399194140697,0.21081123954598505,0.0022572968039566233,0.37506012441741093
Trpc3,401.82502687638345,0.0494656190931378,0.1497865404856714,0.0022417103787413456,0.37506012441741093
A730049H05Rik,10.224633883255516,-0.032739949492501225,0.23996181214952755,0.0024203478728318253,0.3914799468183886
Clmn,20140.498379865727,-0.03185153584223213,0.10539317063098151,0.002445864618708528,0.3914799468183886
Copz2,278.94823441582616,-0.051469159233636916,0.15966641465291184,0.0024112622085020134,0.3914799468183886
Myl1,31.96581780166355,-0.05772206218178254,0.24895295738500706,0.0024632157292835085,0.3914799468183886
Prkg2,467.9162037203004,0.06510574560515192,0.23065529202507812,0.0024572610624746007,0.3914799468183886
Gm19500,189.62346373851278,-0.06110636140937882,0.23595185713602818,0.0025726155479561448,0.3918307864166205
Gm31333,9.758138000189252,0.03490081831110686,0.24172990064039981,0.002532249134940207,0.3918307864166205
Grm4,551.4887999176294,0.06264563362703486,0.2060491842780326,0.0025169181459828815,0.3918307864166205
Htr7,1111.457746603368,-0.04847719577563191,0.15324796552272935,0.002516413668272757,0.3918307864166205
Mag,6261.71000561528,-0.06055257198952053,0.19725626101062704,0.002552912688823942,0.3918307864166205
Marcks,9001.837752402222,0.027528842245816528,0.09521316127599899,0.0026143037361776077,0.3948894990588276
Rerg,2150.6604774445477,-0.05408767391789651,0.17524359522935054,0.002655983624009396,0.39789682537721094
Nek7,4823.7375083199595,-0.016410081862565783,0.06324511419436049,0.0027149146151284062,0.4013306866781473
Npy2r,4099.767463213841,-0.045081326163661235,0.1473367454527119,0.0027228213135684336,0.4013306866781473
Gria3,18730.99941924121,0.023145134909521966,0.084123220302892,0.0027915901701292905,0.40203623262926097
Kcng1,3337.5662540492744,0.03785050129593253,0.12722729435173777,0.0028155954356046072,0.40203623262926097
Klhdc8a,349.0195466122339,0.05804559796210556,0.2298676252064948,0.0027565878570847313,0.40203623262926097
Tcfl5,70.20686647950721,0.0438212673140487,0.2415074365969188,0.002798753948627137,0.40203623262926097
Trf,11394.390245855428,-0.05682780526203429,0.20250535465910832,0.002920856838609682,0.4138333367385206
