Gene_Name,Published_Expression,WT_F_Imprinted_Count,WT_M_Imprinted_Count,HT_F_Imprinted_Count,KO_M_Imprinted_Count,WT_F_Imprint_Status,WT_M_Imprint_Status,HT_F_Imprint_Status,KO_M_Imprint_Status,WT_F_Percent_Matching,WT_M_Percent_Matching,HT_F_Percent_Matching,KO_M_Percent_Matching
Chrac1,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Commd1,Maternal,3,2,2,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Copg2,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Dact2,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Dcn,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Ddc,Paternal,0,1,1,0,Not Imprinted,Paternal,Maternal,Not Imprinted,NA,0,100,NA
Dhcr7,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Dio3,Paternal,1,3,1,0,Paternal,Paternal,Paternal,Not Imprinted,0,0,0,NA
Dlk1,Paternal,3,3,3,3,Inconsistent,Maternal,Inconsistent,Maternal,66.7,100,66.7,100
Fkbp6,Paternal,0,2,1,1,Not Imprinted,Paternal,Paternal,Paternal,NA,0,0,0
Fthl17a,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Fthl17b,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Fthl17f,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Ftx,Paternal,0,3,0,3,Not Imprinted,Paternal,Not Imprinted,Paternal,NA,0,NA,0
Gab1,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Galnt6,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Gatm,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Gm35612,Maternal,3,3,3,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Gnai3,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Gnas,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Grb10,Maternal,1,1,3,3,Maternal,Maternal,Maternal,Maternal,0,0,0,0
H13,Maternal,1,1,1,1,Maternal,Maternal,Maternal,Maternal,0,0,0,0
H19,Maternal,2,2,1,0,Paternal,Paternal,Paternal,Not Imprinted,100,100,100,NA
Htr2a,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Hymai,Paternal,3,3,3,3,Paternal,Paternal,Inconsistent,Paternal,0,0,33.3,0
Igf2,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Igf2r,Maternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Impact,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Inpp5f,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Ins2,Paternal,2,3,2,1,Paternal,Paternal,Paternal,Paternal,0,0,0,0
Jade1,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Jpx,Paternal,0,3,0,3,Not Imprinted,Paternal,Not Imprinted,Paternal,NA,0,NA,0
Kcnk9,Maternal,3,3,3,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Kcnq1,Maternal,3,3,3,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Kcnq1ot1,Paternal,3,3,3,3,Maternal,Maternal,Maternal,Maternal,100,100,100,100
Klf14,Maternal,3,3,2,3,Paternal,Paternal,Paternal,Paternal,100,100,100,100
Maged2,Maternal,0,3,0,3,Not Imprinted,Paternal,Not Imprinted,Paternal,NA,100,NA,100
Magel2,Paternal,3,3,3,3,Paternal,Inconsistent,Inconsistent,Inconsistent,0,33.3,66.7,66.7
Magi2,Paternal,0,0,0,0,Not Imprinted,Not Imprinted,Not Imprinted,Not Imprinted,NA,NA,NA,NA
Mcts2,Paternal,1,1,1,1,Maternal,Maternal,Maternal,Maternal,100,100,100,100
Meg3,Maternal,3,3,3,3,Inconsistent,Inconsistent,Inconsistent,Maternal,33.3,66.7,66.7,0
